State,County,Urban_Rural
Illinois,Adams,Rural
Illinois,Alexander,Rural
Illinois,Bond,Rural
Illinois,Boone,Rural
Illinois,Brown,Rural
Illinois,Bureau,Rural
Illinois,Calhoun,Rural
Illinois,Carroll,Rural
Illinois,Cass,Rural
Illinois,Champaign,Urban
Illinois,Christian,Rural
Illinois,Clark,Rural
Illinois,Clay,Rural
Illinois,Clinton,Rural
Illinois,Coles,Rural
Illinois,Cook,Urban
Illinois,Crawford,Rural
Illinois,Cumberland,Rural
Illinois,Dekalb,Urban
Illinois,Dewitt,Rural
Illinois,Douglas,Rural
Illinois,Dupage,Urban
Illinois,Edgar,Rural
Illinois,Edwards,Rural
Illinois,Effingham,Rural
Illinois,Fayette,Rural
Illinois,Ford,Rural
Illinois,Franklin,Rural
Illinois,Fulton,Rural
Illinois,Gallatin,Rural
Illinois,Greene,Rural
Illinois,Grundy,Rural
Illinois,Hamilton,Rural
Illinois,Hancock,Rural
Illinois,Hardin,Rural
Illinois,Henderson,Rural
Illinois,Henry,Rural
Illinois,Iroquois,Rural
Illinois,Jackson,Rural
Illinois,Jasper,Rural
Illinois,Jefferson,Rural
Illinois,Jersey,Rural
Illinois,Jo Daviess,Rural
Illinois,Johnson,Rural
Illinois,Kane,Urban
Illinois,Kankakee,Urban
Illinois,Kendall,Urban
Illinois,Knox,Rural
Illinois,Lake,Urban
Illinois,Lasalle,Rural
Illinois,Lawrence,Rural
Illinois,Lee,Rural
Illinois,Livingston,Rural
Illinois,Logan,Rural
Illinois,Macon,Urban
Illinois,Macoupin,Rural
Illinois,Madison,Urban
Illinois,Marion,Rural
Illinois,Marshall,Rural
Illinois,Mason,Rural
Illinois,Massac,Rural
Illinois,Mcdonough,Rural
Illinois,Mchenry,Urban
Illinois,Mclean,Urban
Illinois,Menard,Rural
Illinois,Mercer,Rural
Illinois,Monroe,Rural
Illinois,Montgomery,Rural
Illinois,Morgan,Rural
Illinois,Moultrie,Rural
Illinois,Ogle,Rural
Illinois,Peoria,Urban
Illinois,Perry,Rural
Illinois,Piatt,Rural
Illinois,Pike,Rural
Illinois,Pope,Rural
Illinois,Pulaski,Rural
Illinois,Putnam,Rural
Illinois,Randolph,Rural
Illinois,Richland,Rural
Illinois,Rock Island,Rural
Illinois,Saline,Rural
Illinois,Sangamon,Urban
Illinois,Schuyler,Rural
Illinois,Scott,Rural
Illinois,Shelby,Rural
Illinois,St. Clair,Urban
Illinois,Stark,Rural
Illinois,Stephenson,Rural
Illinois,Tazewell,Urban
Illinois,Union,Rural
Illinois,Vermilion,Urban
Illinois,Wabash,Rural
Illinois,Warren,Rural
Illinois,Washington,Rural
Illinois,Wayne,Rural
Illinois,White,Rural
Illinois,Whiteside,Rural
Illinois,Will,Urban
Illinois,Williamson,Rural
Illinois,Winnebago,Urban
Illinois,Woodford,Rural
,, 
